0.612063,-0.244132,0.305873,0.037244,-0.553960,-1.119181,0.133391,-0.213589,0.082233,1.410119,0.033653,-1.586726
0.837377,-0.191670,0.402093,-0.072088,0.064461,-1.308435,0.364137,-0.012591,-0.049062,1.825042,-0.263893,-2.600632
0.556741,-0.055140,0.146542,0.145034,0.213774,-1.365557,0.507918,0.171872,0.051352,1.527376,-0.032361,-2.864214
0.392983,-0.009467,0.025161,0.234608,-0.144718,-1.182937,0.429211,0.258974,0.316344,1.579241,0.018089,-2.851622
0.178313,0.127252,-0.302086,0.236075,-0.834110,-0.532218,0.355517,0.204856,0.494497,1.305997,0.030791,-2.759562
0.049786,0.155423,-0.626530,0.236090,-1.456581,0.062009,0.437121,0.137275,0.322206,0.682820,-0.318009,-2.596276
0.079431,0.127170,-0.505188,0.286153,-1.483093,0.286234,0.159971,0.144744,0.047981,0.392182,-0.750705,-2.428322
0.362589,0.089980,-0.088042,0.172263,-0.771544,-0.109685,0.008823,0.358644,-0.301860,0.122077,-1.238114,-2.182401
0.410956,-0.026974,0.065446,0.080854,0.244911,-0.531533,0.214696,0.357943,-0.188453,-0.057045,-1.464177,-1.567374
0.449615,0.005922,-0.008054,0.067179,0.506490,-0.662481,0.230352,0.338038,-0.246965,-0.227917,-1.545379,-1.176577
0.158916,-0.024633,-0.275880,0.124601,0.074716,-0.227717,0.390212,0.203899,-0.192234,-0.308153,-1.519552,-0.723262
-0.340966,0.044913,-0.472014,0.143500,-0.538540,0.353364,0.500393,0.047711,-0.089010,-0.333672,-1.181604,-0.384410
-0.762449,0.062445,-0.478828,0.205942,-0.947769,0.627807,0.435024,-0.191009,-0.022718,-0.547193,-0.669662,-0.271495
-0.836480,0.087535,-0.185691,0.365202,-1.310475,0.493471,0.294732,-0.431700,-0.017379,-0.783100,-0.106208,-0.357585
-0.172213,-0.084424,0.371111,0.182463,-1.001463,0.255917,0.260824,-0.405535,-0.260709,-0.867246,0.206014,-0.311939
0.394661,-0.062427,0.398450,-0.064570,-0.429060,-0.256742,0.046820,-0.324646,-0.383890,-0.659400,-0.022356,-0.321873
0.646030,-0.022250,0.188462,-0.200786,-0.316120,-0.880456,0.011132,-0.231457,-0.246491,-0.161180,-0.127673,-0.742598
0.310479,-0.120583,0.103920,-0.018516,-0.399892,-0.999122,0.372254,-0.025055,0.016297,0.107035,-0.376629,-1.189594
-0.284483,-0.026271,0.133854,0.004569,-0.720181,-1.231351,0.364333,0.097749,-0.219491,0.201341,-0.608111,-1.502323
-0.180728,-0.064420,0.287808,0.009600,-0.800521,-1.381519,0.285828,0.174107,-0.330031,0.420724,-0.825685,-1.766408
0.081514,-0.127337,0.278816,-0.026642,-0.585772,-1.369635,0.384586,0.152381,-0.308007,0.522178,-1.032426,-1.958123
0.330280,-0.103313,0.205627,-0.067651,-0.225812,-1.356224,0.474117,0.145594,-0.212346,0.690563,-1.041045,-2.107695
0.492995,-0.043888,0.074985,-0.127552,0.089004,-1.372509,0.541589,0.251221,0.011381,0.956757,-0.766871,-2.253362
0.398361,0.019005,-0.149905,-0.136576,0.119400,-1.362385,0.880069,0.360289,0.283288,1.103170,-0.299268,-2.116307
0.112812,0.091474,-0.308780,0.121827,-0.176996,-0.905669,0.805878,0.229813,0.328748,1.050963,0.059642,-1.890870
0.004032,0.184254,-0.338773,0.358231,-0.943105,-0.153565,0.775138,0.077762,0.203546,0.693445,-0.035726,-1.772879
-0.020068,0.259139,-0.180154,0.434009,-1.354967,0.405519,0.647041,0.071692,0.220813,0.647652,-0.361904,-1.614763
0.184087,0.156567,-0.106399,0.278756,-1.162158,0.325645,0.519766,0.156105,0.026343,0.574703,-0.887364,-1.490387
0.316074,-0.042577,-0.046591,0.173734,-0.229911,-0.208447,0.537528,0.225739,-0.005770,0.496597,-1.171637,-1.254442
0.343223,-0.105312,-0.033419,0.138036,0.575915,-0.674336,0.371412,0.325416,-0.060417,0.475626,-0.882220,-1.154730
0.364404,-0.070558,-0.130094,0.227935,0.395787,-0.647836,0.444433,0.381615,-0.023348,0.507748,-0.493459,-1.101668
0.280955,0.024708,-0.340563,0.304808,-0.285603,-0.167580,0.612802,0.221137,0.120380,0.515643,-0.137693,-1.075108
0.149304,0.092120,-0.371181,0.311687,-0.883240,0.194556,0.619126,0.087707,0.174121,0.407108,0.013259,-1.093455
0.208465,0.081082,-0.336014,0.223561,-1.195887,0.119704,0.453486,0.038906,0.143620,0.316402,-0.019109,-1.145597
