timestamp_ms,roll,pitch,yaw,ang_vel_x,ang_vel_y,ang_vel_z,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_11,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,cmd_vx,cmd_vy,cmd_wz,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,torque_6,torque_7,torque_8,torque_9,torque_10,torque_11,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44
220,0.012419,0.024426,-0.007423,-0.353920,0.443044,0.213852,-0.031399,-0.040555,0.292942,-0.419256,0.239349,-0.009539,-0.036624,0.175593,0.091559,-0.150330,0.194528,-0.127129,0.486464,0.229282,-0.450703,2.612801,8.053543,-6.933114,0.314131,2.460170,-1.197943,0.376017,-3.319007,-0.644416,0.000000,0.000000,0.000000,0.449615,0.005922,-0.008054,0.067179,0.506490,-0.662481,0.230352,0.338038,-0.246965,-0.227917,-1.545379,-1.176577,36.314651,1.485301,-3.110404,-4.245805,0.083941,-2.590568,19.305099,14.422783,-4.585763,-31.333958,-18.897608,-13.860894,0.000000,0.000000,0.000000,-0.088480,0.110761,0.053463,0.024424,-0.012415,-0.999625,-0.031399,-0.040555,0.042942,0.080744,-0.010651,-0.009539,-0.036624,0.175593,-0.158441,0.349670,-0.055472,-0.127129,0.024323,0.011464,-0.022535,0.130640,0.402677,-0.346656,0.015707,0.123008,-0.059897,0.018801,-0.165950,-0.032221,0.449615,0.005922,-0.008054,0.067179,0.506490,-0.662481,0.230352,0.338038,-0.246965,-0.227917,-1.545379,-1.176577
240,0.005130,0.032209,-0.003963,-0.544873,0.340793,0.181503,-0.019367,-0.033460,0.274678,-0.370265,0.330477,-0.110351,-0.024688,0.226742,0.078329,-0.118931,0.125115,-0.096161,0.505255,0.014237,-1.300912,2.404850,2.374938,-3.511905,0.788370,2.496170,-0.324868,1.370085,-4.133311,1.668252,0.000000,0.000000,0.000000,0.158916,-0.024633,-0.275880,0.124601,0.074716,-0.227717,0.390212,0.203899,-0.192234,-0.308153,-1.519552,-0.723262,12.384997,-0.592896,-26.482586,-1.174811,-3.742820,2.744216,30.256598,1.134953,-2.213790,-43.753815,-17.129251,-11.186789,0.000000,0.000000,0.000000,-0.136218,0.085198,0.045376,0.032203,-0.005127,-0.999468,-0.019367,-0.033460,0.024678,0.129735,0.080477,-0.110351,-0.024688,0.226742,-0.171671,0.381069,-0.124885,-0.096161,0.025263,0.000712,-0.065046,0.120243,0.118747,-0.175595,0.039419,0.124809,-0.016243,0.068504,-0.206666,0.083413,0.158916,-0.024633,-0.275880,0.124601,0.074716,-0.227717,0.390212,0.203899,-0.192234,-0.308153,-1.519552,-0.723262
260,-0.004785,0.040969,-0.005402,-0.538243,0.510418,0.048419,-0.019654,-0.029050,0.238870,-0.324773,0.291984,-0.080726,-0.018456,0.272473,0.077322,-0.102489,0.044581,-0.029961,-0.609038,0.225016,-2.230025,2.276428,-3.035269,3.685149,-0.019798,1.945423,0.127416,0.743549,-3.447958,3.701592,0.000000,0.000000,0.000000,-0.340966,0.044913,-0.472014,0.143500,-0.538540,0.353364,0.500393,0.047711,-0.089010,-0.333672,-1.181604,-0.384410,-25.325554,4.210401,-38.890472,-1.191279,-5.867110,4.015315,40.715866,-12.267541,6.532247,-44.618507,-10.723931,-9.413548,0.000000,0.000000,0.000000,-0.134561,0.127604,0.012105,0.040958,0.004781,-0.999149,-0.019654,-0.029050,-0.011130,0.175227,0.041984,-0.080726,-0.018456,0.272473,-0.172678,0.397511,-0.205419,-0.029961,-0.030452,0.011251,-0.111501,0.113821,-0.151763,0.184257,-0.000990,0.097271,0.006371,0.037177,-0.172398,0.185080,-0.340966,0.044913,-0.472014,0.143500,-0.538540,0.353364,0.500393,0.047711,-0.089010,-0.333672,-1.181604,-0.384410
280,-0.011489,0.049881,-0.001974,-0.112112,0.344138,0.259954,-0.054840,-0.034994,0.187673,-0.281006,0.226598,0.053546,-0.018504,0.294189,0.084129,-0.099038,0.018408,0.036480,-2.900758,-0.041753,-2.695204,2.133096,-4.308281,6.963027,0.017113,0.518294,0.474144,-0.144626,0.386323,3.061155,0.000000,0.000000,0.000000,-0.762449,0.062445,-0.478828,0.205942,-0.947769,0.627807,0.435024,-0.191009,-0.022718,-0.547193,-0.669662,-0.271495,-51.811378,6.446591,-30.806606,2.216039,-9.393891,1.177072,35.511105,-28.589869,11.129395,-59.537769,-6.371056,-8.060341,0.000000,0.000000,0.000000,-0.028028,0.086035,0.064989,0.049861,0.011474,-0.998690,-0.054840,-0.034994,-0.062327,0.218994,-0.023402,0.053546,-0.018504,0.294189,-0.165871,0.400962,-0.231592,0.036480,-0.145038,-0.002088,-0.134760,0.106655,-0.215414,0.348151,0.000856,0.025915,0.023707,-0.007231,0.019316,0.153058,-0.762449,0.062445,-0.478828,0.205942,-0.947769,0.627807,0.435024,-0.191009,-0.022718,-0.547193,-0.669662,-0.271495
300,-0.009293,0.049010,0.009580,0.392834,-0.111935,0.991262,-0.119315,-0.036959,0.138442,-0.234459,0.102249,0.211833,-0.020900,0.282300,0.098175,-0.112987,0.085663,0.070132,-3.249451,-0.068789,-2.068909,2.286974,-6.064497,8.614837,-0.329279,-1.493618,0.781515,-1.199381,4.740480,1.220857,0.000000,0.000000,0.000000,-0.836480,0.087535,-0.185691,0.365202,-1.310475,0.493471,0.294732,-0.431700,-0.017379,-0.783100,-0.106208,-0.357585,-53.560471,8.717146,3.325931,13.305599,-10.406594,-3.166120,24.745247,-43.933083,8.953787,-76.234711,-2.374635,-8.604040,0.000000,0.000000,0.000000,0.098208,-0.027984,0.247815,0.048990,0.009282,-0.998756,-0.119315,-0.036959,-0.111558,0.265541,-0.147751,0.211833,-0.020900,0.282300,-0.151825,0.387013,-0.164337,0.070132,-0.162473,-0.003439,-0.103445,0.114349,-0.303225,0.430742,-0.016464,-0.074681,0.039076,-0.059969,0.237024,0.061043,-0.836480,0.087535,-0.185691,0.365202,-1.310475,0.493471,0.294732,-0.431700,-0.017379,-0.783100,-0.106208,-0.357585
320,0.002093,0.048483,0.035208,0.492516,0.027657,1.410407,-0.143859,-0.039212,0.111214,-0.188344,0.082547,0.417339,-0.029625,0.228276,0.112460,-0.152391,0.213751,0.090217,-0.434500,-0.333976,-0.341167,2.265067,-1.098234,8.461774,-0.380907,-3.171361,0.632719,-2.416739,6.812601,1.693467,0.000000,0.000000,0.000000,-0.172213,-0.084424,0.371111,0.182463,-1.001463,0.255917,0.260824,-0.405535,-0.260709,-0.867246,0.206014,-0.311939,-6.620946,-4.483084,59.501801,-3.136256,-10.724910,-12.952559,23.253992,-34.692417,-19.188162,-78.292587,-3.102690,-7.554754,0.000000,0.000000,0.000000,0.123129,0.006914,0.352602,0.048464,-0.002090,-0.998823,-0.143859,-0.039212,-0.138786,0.311656,-0.167453,0.417339,-0.029625,0.228276,-0.137540,0.347609,-0.036249,0.090217,-0.021725,-0.016699,-0.017058,0.113253,-0.054912,0.423089,-0.019045,-0.158568,0.031636,-0.120837,0.340630,0.084673,-0.172213,-0.084424,0.371111,0.182463,-1.001463,0.255917,0.260824,-0.405535,-0.260709,-0.867246,0.206014,-0.311939
341,0.007773,0.051139,0.054910,0.171276,0.288421,0.409439,-0.137914,-0.015052,0.108194,-0.150762,0.179572,0.517575,-0.035857,0.155316,0.130916,-0.209580,0.262215,0.192946,1.219850,0.749589,0.008245,1.717723,5.351580,1.167311,-0.416236,-3.874644,1.282791,-2.705319,-0.721450,6.545496,0.000000,0.000000,0.000000,0.394661,-0.062427,0.398450,-0.064570,-0.429060,-0.256742,0.046820,-0.324646,-0.383890,-0.659400,-0.022356,-0.321873,34.916054,-5.737634,58.841251,-23.688372,-10.923367,-17.347605,6.293819,-22.827538,-37.611881,-57.661865,-1.546306,-15.012400,0.000000,0.000000,0.000000,0.042819,0.072105,0.102360,0.051117,-0.007763,-0.998663,-0.137914,-0.015052,-0.141806,0.349238,-0.070428,0.517575,-0.035857,0.155316,-0.119084,0.290420,0.012215,0.192946,0.060993,0.037479,0.000412,0.085886,0.267579,0.058366,-0.020812,-0.193732,0.064140,-0.135266,-0.036073,0.327275,0.394661,-0.062427,0.398450,-0.064570,-0.429060,-0.256742,0.046820,-0.324646,-0.383890,-0.659400,-0.022356,-0.321873
361,0.015641,0.040579,0.049814,0.777141,-0.880602,-0.502725,-0.090888,-0.003212,0.111214,-0.130724,0.304447,0.372134,-0.041274,0.090073,0.176072,-0.258907,0.297161,0.216819,3.210334,0.606546,0.260777,0.514603,8.224198,-6.701627,-0.189495,-2.724494,2.394113,-2.071353,3.693538,0.991383,0.000000,0.000000,0.000000,0.646030,-0.022250,0.188462,-0.200786,-0.316120,-0.880456,0.011132,-0.231457,-0.246491,-0.161180,-0.127673,-0.742598,48.300667,-3.280352,33.864174,-32.674873,-12.780535,-11.760206,2.929963,-15.171574,-34.866787,-17.668148,-6.524363,-15.607041,0.000000,0.000000,0.000000,0.194285,-0.220151,-0.125681,0.040568,-0.015627,-0.999055,-0.090888,-0.003212,-0.138786,0.369276,0.054447,0.372134,-0.041274,0.090073,-0.073928,0.241093,0.047161,0.216819,0.160517,0.030327,0.013039,0.025730,0.411210,-0.335081,-0.009475,-0.136225,0.119706,-0.103568,0.184677,0.049569,0.646030,-0.022250,0.188462,-0.200786,-0.316120,-0.880456,0.011132,-0.231457,-0.246491,-0.161180,-0.127673,-0.742598
381,0.020222,0.024115,0.045953,-0.519728,-0.368362,0.359912,-0.042376,-0.002972,0.118212,-0.154692,0.378989,0.386659,-0.040938,0.042184,0.222907,-0.303632,0.328607,0.224249,1.350478,-0.132498,0.271275,-2.297520,0.393945,0.164472,0.414462,-2.032285,2.230456,-2.046474,2.609589,1.049866,0.000000,0.000000,0.000000,0.310479,-0.120583,0.103920,-0.018516,-0.399892,-0.999122,0.372254,-0.025055,0.016297,0.107035,-0.376629,-1.189594,22.751194,-9.266973,23.021507,-9.897213,-9.040285,-21.667831,30.540661,1.617563,-9.324146,5.891798,-9.279431,-22.441891,0.000000,0.000000,0.000000,-0.129932,-0.092091,0.089978,0.024112,-0.020215,-0.999505,-0.042376,-0.002972,-0.131788,0.345308,0.128989,0.386659,-0.040938,0.042184,-0.027093,0.196368,0.078607,0.224249,0.067524,-0.006625,0.013564,-0.114876,0.019697,0.008224,0.020723,-0.101614,0.111523,-0.102324,0.130479,0.052493,0.310479,-0.120583,0.103920,-0.018516,-0.399892,-0.999122,0.372254,-0.025055,0.016297,0.107035,-0.376629,-1.189594
401,0.003055,0.020706,0.061242,-0.793735,-0.488905,0.682487,-0.039931,-0.011745,0.127560,-0.203924,0.377887,0.380955,-0.016682,0.015244,0.261640,-0.341790,0.365183,0.241554,-0.606881,-0.350035,0.504871,-2.549908,0.038541,-0.111405,1.604496,-1.030643,1.650755,-1.404407,0.783193,0.468535,0.000000,0.000000,0.000000,-0.284483,-0.026271,0.133854,0.004569,-0.720181,-1.231351,0.364333,0.097749,-0.219491,0.201341,-0.608111,-1.502323,-20.982183,-0.991518,24.742729,-5.600093,-13.048524,-23.683184,26.597208,10.473594,-36.340652,13.553556,-12.001226,-26.888729,0.000000,0.000000,0.000000,-0.198434,-0.122226,0.170622,0.020704,-0.003054,-0.999781,-0.039931,-0.011745,-0.122440,0.296076,0.127887,0.380955,-0.016682,0.015244,0.011640,0.158210,0.115183,0.241554,-0.030344,-0.017502,0.025244,-0.127495,0.001927,-0.005570,0.080225,-0.051532,0.082538,-0.070220,0.039160,0.023427,-0.284483,-0.026271,0.133854,0.004569,-0.720181,-1.231351,0.364333,0.097749,-0.219491,0.201341,-0.608111,-1.502323
