0.000000,0.000000,0.000000,0.000140,-0.000286,-0.000456,-0.098915,-0.034843,-0.994486,-0.108625,0.000431,-0.015876,-0.073661,0.271218,0.567717,-0.036816,-0.013279,-0.000824,-0.059807,0.266472,0.494373,0.000024,-0.000007,-0.000010,0.000000,-0.000012,0.000005,-0.000005,-0.000007,-0.000000,-0.000034,-0.000000,-0.000007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.003583,0.020977,0.017878,-0.098812,-0.034914,-0.994493,-0.088683,-0.002684,-0.008062,-0.073661,0.260480,0.547583,-0.032645,-0.017833,-0.003125,-0.026874,0.268054,0.462975,0.094642,-0.032875,0.039248,-0.000117,-0.015798,-0.027008,0.019153,-0.022564,0.003998,0.160706,0.008351,-0.057263,0.612063,-0.244132,0.305873,0.037244,-0.553960,-1.119181,0.133391,-0.213589,0.082233,1.410119,0.033653,-1.586726
0.000000,0.000000,0.000000,0.037039,0.228216,-0.007219,-0.089009,-0.039338,-0.995254,-0.053306,-0.020325,0.020124,-0.075339,0.275101,0.489819,-0.025550,-0.025454,-0.015205,0.020200,0.221268,0.449792,0.046532,-0.065971,0.089453,-0.002807,0.074710,-0.203847,0.016665,-0.009115,-0.058864,0.108515,-0.170013,-0.069408,0.837377,-0.191670,0.402093,-0.072088,0.064461,-1.308435,0.364137,-0.012591,-0.049062,1.825042,-0.263893,-2.600632
0.000000,0.000000,0.000000,0.007505,0.096164,0.011467,-0.074945,-0.033650,-0.996620,-0.047889,-0.040603,0.055454,-0.076777,0.345280,0.343660,-0.019223,-0.017689,-0.037687,0.056104,0.213885,0.421078,0.014983,-0.038136,0.081831,-0.000007,0.222708,-0.401709,0.011816,0.038803,-0.052958,0.104272,-0.040516,-0.109253,0.556741,-0.055140,0.146542,0.145034,0.213774,-1.365557,0.507918,0.171872,0.051352,1.527376,-0.032361,-2.864214
0.000000,0.000000,0.000000,-0.010984,0.146780,-0.192375,-0.065149,-0.033359,-0.997318,-0.034083,-0.056613,0.082347,-0.083488,0.396189,0.151433,-0.018935,0.005513,-0.051014,0.132899,0.172084,0.383927,0.036041,-0.032103,0.050025,-0.022940,0.047098,-0.443625,0.002442,0.077066,-0.010292,0.220596,-0.095888,-0.083403,0.392983,-0.009467,0.025161,0.234608,-0.144718,-1.182937,0.429211,0.258974,0.316344,1.579241,0.018089,-2.851622
0.000000,0.000000,0.000000,0.091176,0.303523,-0.304063,-0.042717,-0.037775,-0.998373,-0.028475,-0.065290,0.093660,-0.094226,0.316758,0.042232,-0.021428,0.037583,-0.050487,0.205667,0.135796,0.329231,-0.008557,-0.004163,-0.004741,-0.029378,-0.267172,-0.187050,-0.010666,0.081634,0.007181,0.160347,-0.085965,-0.139506,0.178313,0.127252,-0.302086,0.236075,-0.834110,-0.532218,0.355517,0.204856,0.494497,1.305997,0.030791,-2.759562
0.000000,0.000000,0.000000,-0.075788,0.231278,-0.177665,-0.020384,-0.041072,-0.998948,-0.032885,-0.061120,0.084120,-0.096623,0.188431,0.015244,-0.020038,0.064331,-0.052356,0.266787,0.083497,0.248649,-0.014141,0.016203,-0.037070,0.004631,-0.384981,-0.002028,0.014753,0.055763,-0.017847,0.131002,-0.138840,-0.224515,0.049786,0.155423,-0.626530,0.236090,-1.456581,0.062009,0.437121,0.137275,0.322206,0.682820,-0.318009,-2.596276
0.000000,0.000000,0.000000,-0.173876,0.195344,0.198895,-0.003304,-0.030127,-0.999541,-0.034658,-0.057380,0.069931,-0.081714,0.017440,0.106132,-0.018791,0.080103,-0.070380,0.303603,0.064850,0.133313,0.001158,0.006572,-0.034977,0.054871,-0.445363,0.283501,-0.006038,0.033858,-0.058200,0.069178,-0.039193,-0.302048,0.079431,0.127170,-0.505188,0.286153,-1.483093,0.286234,0.159971,0.144744,0.047981,0.392182,-0.750705,-2.428322
0.000000,0.000000,0.000000,0.005114,0.082631,0.222490,0.006860,-0.025892,-0.999641,-0.036911,-0.052107,0.059433,-0.032195,-0.175218,0.181873,-0.027564,0.098654,-0.097992,0.331166,0.050469,0.004554,-0.003233,0.010942,-0.015045,0.152808,-0.401745,0.091080,-0.036655,0.058279,-0.082945,0.058879,-0.054890,-0.295612,0.362589,0.089980,-0.088042,0.172263,-0.771544,-0.109685,0.008823,0.358644,-0.301860,0.122077,-1.238114,-2.182401
0.000000,0.000000,0.000000,-0.069305,0.132308,0.199337,0.018043,-0.019001,-0.999657,-0.037583,-0.044821,0.050229,0.027534,-0.154462,0.135613,-0.039117,0.129765,-0.130541,0.344780,0.013365,-0.088731,0.002752,0.016032,-0.009659,0.144276,0.190537,-0.228666,-0.016397,0.093621,-0.076759,0.010374,-0.124245,-0.189164,0.410956,-0.026974,0.065446,0.080854,0.244911,-0.531533,0.214696,0.357943,-0.188453,-0.057045,-1.464177,-1.567374
0.000000,0.000000,0.000000,-0.088480,0.110761,0.053463,0.024424,-0.012415,-0.999625,-0.031399,-0.040555,0.042942,0.080744,-0.010651,-0.009539,-0.036624,0.175593,-0.158441,0.349670,-0.055472,-0.127129,0.024323,0.011464,-0.022535,0.130640,0.402677,-0.346656,0.015707,0.123008,-0.059897,0.018801,-0.165950,-0.032221,0.449615,0.005922,-0.008054,0.067179,0.506490,-0.662481,0.230352,0.338038,-0.246965,-0.227917,-1.545379,-1.176577
0.000000,0.000000,0.000000,-0.136218,0.085198,0.045376,0.032203,-0.005127,-0.999468,-0.019367,-0.033460,0.024678,0.129735,0.080477,-0.110351,-0.024688,0.226742,-0.171671,0.381069,-0.124885,-0.096161,0.025263,0.000712,-0.065046,0.120243,0.118747,-0.175595,0.039419,0.124809,-0.016243,0.068504,-0.206666,0.083413,0.158916,-0.024633,-0.275880,0.124601,0.074716,-0.227717,0.390212,0.203899,-0.192234,-0.308153,-1.519552,-0.723262
0.000000,0.000000,0.000000,-0.134561,0.127604,0.012105,0.040958,0.004781,-0.999149,-0.019654,-0.029050,-0.011130,0.175227,0.041984,-0.080726,-0.018456,0.272473,-0.172678,0.397511,-0.205419,-0.029961,-0.030452,0.011251,-0.111501,0.113821,-0.151763,0.184257,-0.000990,0.097271,0.006371,0.037177,-0.172398,0.185080,-0.340966,0.044913,-0.472014,0.143500,-0.538540,0.353364,0.500393,0.047711,-0.089010,-0.333672,-1.181604,-0.384410
0.000000,0.000000,0.000000,-0.028028,0.086035,0.064989,0.049861,0.011474,-0.998690,-0.054840,-0.034994,-0.062327,0.218994,-0.023402,0.053546,-0.018504,0.294189,-0.165871,0.400962,-0.231592,0.036480,-0.145038,-0.002088,-0.134760,0.106655,-0.215414,0.348151,0.000856,0.025915,0.023707,-0.007231,0.019316,0.153058,-0.762449,0.062445,-0.478828,0.205942,-0.947769,0.627807,0.435024,-0.191009,-0.022718,-0.547193,-0.669662,-0.271495
0.000000,0.000000,0.000000,0.098208,-0.027984,0.247815,0.048990,0.009282,-0.998756,-0.119315,-0.036959,-0.111558,0.265541,-0.147751,0.211833,-0.020900,0.282300,-0.151825,0.387013,-0.164337,0.070132,-0.162473,-0.003439,-0.103445,0.114349,-0.303225,0.430742,-0.016464,-0.074681,0.039076,-0.059969,0.237024,0.061043,-0.836480,0.087535,-0.185691,0.365202,-1.310475,0.493471,0.294732,-0.431700,-0.017379,-0.783100,-0.106208,-0.357585
0.000000,0.000000,0.000000,0.123129,0.006914,0.352602,0.048464,-0.002090,-0.998823,-0.143859,-0.039212,-0.138786,0.311656,-0.167453,0.417339,-0.029625,0.228276,-0.137540,0.347609,-0.036249,0.090217,-0.021725,-0.016699,-0.017058,0.113253,-0.054912,0.423089,-0.019045,-0.158568,0.031636,-0.120837,0.340630,0.084673,-0.172213,-0.084424,0.371111,0.182463,-1.001463,0.255917,0.260824,-0.405535,-0.260709,-0.867246,0.206014,-0.311939
0.000000,0.000000,0.000000,0.042819,0.072105,0.102360,0.051117,-0.007763,-0.998663,-0.137914,-0.015052,-0.141806,0.349238,-0.070428,0.517575,-0.035857,0.155316,-0.119084,0.290420,0.012215,0.192946,0.060993,0.037479,0.000412,0.085886,0.267579,0.058366,-0.020812,-0.193732,0.064140,-0.135266,-0.036073,0.327275,0.394661,-0.062427,0.398450,-0.064570,-0.429060,-0.256742,0.046820,-0.324646,-0.383890,-0.659400,-0.022356,-0.321873
